1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,142,137,132,132,137,129,119,115,126,129,122,112,112,112,111,119,111,111,111,111,111,0
0,142,137,124,131,128,128,114,115,115,111,122,112,112,112,111,111,111,111,111,111,111,0
0,141,136,124,121,125,128,114,115,115,111,122,112,111,112,111,111,111,111,111,111,111,0
0,135,136,124,120,125,128,114,115,115,111,122,112,111,112,111,111,111,111,111,111,111,0
0,125,136,118,120,119,127,114,115,115,111,118,111,111,112,111,111,111,111,111,111,111,0
0,125,130,117,119,116,119,114,112,111,111,118,111,111,111,111,111,111,111,111,111,111,0
0,122,130,117,119,116,119,114,112,111,111,118,111,111,111,111,111,111,111,111,111,111,0
0,122,124,117,119,116,115,111,112,111,111,114,111,111,111,111,111,111,111,111,111,111,0
0,122,124,117,119,116,115,111,112,111,111,114,111,111,111,111,111,111,111,111,111,111,0
0,122,124,117,116,116,115,111,112,111,111,114,111,111,111,111,111,111,111,111,111,111,0
0,122,124,116,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,122,124,116,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,124,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,116,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,117,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,116,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,112,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,112,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,112,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,116,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,112,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
0,116,115,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,0
