Genes,PAO1.LB.913,PAO1.LB.201,PAO1.LB.335,PAO1.Sputum.224,PAO1.Sputum.405,PAO1.Pyruvate.179,PAO1.Succinate.640
PA1632,1,0,0,0,0,0,0
PA1644,1,0,0,0,0,0,0
PA1648,1,0,0,0,0,0,0
PA1671,1,0,0,0,0,0,0
PA1672,1,0,0,0,0,0,0
PA1676,1,0,0,0,0,0,0
PA1691,1,0,0,0,0,0,0
PA1692,1,0,0,0,0,0,0
PA1700,1,0,0,0,0,0,0
PA1701,1,0,0,0,0,0,0
PA1705,1,0,0,0,0,0,0
PA1713,1,0,0,0,0,0,0
PA1715,1,0,0,0,0,0,0
PA1722,1,0,0,0,0,0,0
PA1724,1,0,0,0,0,0,0
PA1734,1,0,0,0,0,0,0
PA1778,1,0,0,0,0,0,0
PA1781.1,1,0,0,0,0,0,0
PA1796.1,1,0,0,0,0,0,0
PA1796.2,1,0,0,0,0,0,0
PA1796.3,1,0,0,0,0,0,0
PA1796.4,1,0,0,0,0,0,0
PA1804.1,1,0,0,0,0,0,0
PA1817,1,0,0,0,0,0,0
PA1823,1,0,0,0,0,0,0
PA1837,1,0,0,0,0,0,0
PA1840,1,0,0,0,0,0,0
PA1869,1,0,0,0,0,0,0
PA1882,1,0,0,0,0,0,0
PA1883,1,0,0,0,0,0,0
PA1914,1,0,0,0,0,0,0
PA1917,1,0,0,0,0,0,0
PA1921,1,0,0,0,0,0,0
PA1932,1,0,0,0,0,0,0
PA1936,1,0,0,0,0,0,0
PA1942,1,0,0,0,0,0,0
PA1950,1,0,0,0,0,0,0
PA1956,1,0,0,0,0,0,0
PA1960,1,0,0,0,0,0,0
PA1963,1,0,0,0,0,0,0
PA1975,1,0,0,0,0,0,0
PA1977,1,0,0,0,0,0,0
PA1987,1,0,0,0,0,0,0
PA1989,1,0,0,0,0,0,0
PA1999,1,0,0,0,0,0,0
PA2000,1,0,0,0,0,0,0
PA2007,1,0,0,0,0,0,0
PA2011,1,0,0,0,0,0,0
PA2013,1,0,0,0,0,0,0
PA2014,1,0,0,0,0,0,0
PA2017,1,0,0,0,0,0,0
PA2027,1,0,0,0,0,0,0
PA2028,1,0,0,0,0,0,0
PA2029,1,0,0,0,0,0,0
PA2033,1,0,0,0,0,0,0
PA2036,1,0,0,0,0,0,0
PA2045,1,0,0,0,0,0,0
PA2060,1,0,0,0,0,0,0
PA2066,1,0,0,0,0,0,0
PA2068,1,0,0,0,0,0,0
PA2069,1,0,0,0,0,0,0
PA2081,1,0,0,0,0,0,0
PA2086,1,0,0,0,0,0,0
PA2095,1,0,0,0,0,0,0
PA2098,1,0,0,0,0,0,0
PA2109,1,0,0,0,0,0,0
PA2112,1,0,0,0,0,0,0
PA2118,1,0,0,0,0,0,0
PA2120,1,0,0,0,0,0,0
PA2121,1,0,0,0,0,0,0
PA2126.1,1,0,0,0,0,0,0
PA2135,1,0,0,0,0,0,0
PA2136,1,0,0,0,0,0,0
PA2153,1,0,0,0,0,0,0
PA2178,1,0,0,0,0,0,0
PA2182,1,0,0,0,0,0,0
PA2192,1,0,0,0,0,0,0
PA2205,1,0,0,0,0,0,0
PA2211,1,0,0,0,0,0,0
PA2226,1,0,0,0,0,0,0
PA2231,1,0,0,0,0,0,0
PA2238,1,0,0,0,0,0,0
PA2244,1,0,0,0,0,0,0
PA2256,1,0,0,0,0,0,0
PA2257,1,0,0,0,0,0,0
PA2266,1,0,0,0,0,0,0
PA2276,1,0,0,0,0,0,0
PA2278,1,0,0,0,0,0,0
PA2281,1,0,0,0,0,0,0
PA2282,1,0,0,0,0,0,0
PA2291,1,0,0,0,0,0,0
PA2297,1,0,0,0,0,0,0
PA2304,1,0,0,0,0,0,0
PA2319,1,0,0,0,0,0,0
PA2340,1,0,0,0,0,0,0
PA2344,1,0,0,0,0,0,0
PA2353,1,0,0,0,0,0,0
PA2356,1,0,0,0,0,0,0
PA2357,1,0,0,0,0,0,0
PA2364,1,0,0,0,0,0,0
PA2382,1,0,0,0,0,0,0
PA2395,1,0,0,0,0,0,0
PA2406,1,0,0,0,0,0,0
PA2415,1,0,0,0,0,0,0
PA2436,1,0,0,0,0,0,0
PA2450,1,0,0,0,0,0,0
PA2454,1,0,0,0,0,0,0
PA2456,1,0,0,0,0,0,0
PA2459,1,0,0,0,0,0,0
PA2465,1,0,0,0,0,0,0
PA2471,1,0,0,0,0,0,0
PA2485,1,0,0,0,0,0,0
PA2486,1,0,0,0,0,0,0
PA2487,1,0,0,0,0,0,0
PA2489,1,0,0,0,0,0,0
PA2490,1,0,0,0,0,0,0
PA2496,1,0,0,0,0,0,0
PA2497,1,0,0,0,0,0,0
PA2498,1,0,0,0,0,0,0
PA2499,1,0,0,0,0,0,0
PA2501,1,0,0,0,0,0,0
PA2513,1,0,0,0,0,0,0
PA2562,1,0,0,0,0,0,0
PA2570.1,1,0,0,0,0,0,0
PA2581.1,1,0,0,0,0,0,0
PA2583.1,1,0,0,0,0,0,0
PA2603.1,1,0,0,0,0,0,0
PA2622,1,0,0,0,0,0,0
PA2625,1,0,0,0,0,0,0
PA2630,1,0,0,0,0,0,0
PA2659,1,0,0,0,0,0,0
PA2673,1,0,0,0,0,0,0
PA2694,1,0,0,0,0,0,0
PA2702,1,0,0,0,0,0,0
PA2736.1,1,0,0,0,0,0,0
PA2737,1,0,0,0,0,0,0
PA2744.1,1,0,0,0,0,0,0
PA2748,1,0,0,0,0,0,0
PA2775.1,1,0,0,0,0,0,0
PA2779,1,0,0,0,0,0,0
PA2782,1,0,0,0,0,0,0
PA2785,1,0,0,0,0,0,0
PA2786,1,0,0,0,0,0,0
PA2808,1,0,0,0,0,0,0
PA2811,1,0,0,0,0,0,0
PA2819,1,0,0,0,0,0,0
PA2819.1,1,0,0,0,0,0,0
PA2819.2,1,0,0,0,0,0,0
PA2819.3,1,0,0,0,0,0,0
PA2852.1,1,0,0,0,0,0,0
PA2880,1,0,0,0,0,0,0
PA2917,1,0,0,0,0,0,0
PA2919,1,0,0,0,0,0,0
PA2942.1,1,0,0,0,0,0,0
PA2958.1,1,0,0,0,0,0,0
PA2960,1,0,0,0,0,0,0
PA2968,1,0,0,0,0,0,0
PA3031.1,1,0,0,0,0,0,0
PA3051,1,0,0,0,0,0,0
PA3094.1,1,0,0,0,0,0,0
PA3094.2,1,0,0,0,0,0,0
PA3094.3,1,0,0,0,0,0,0
PA3133.1,1,0,0,0,0,0,0
PA3133.2,1,0,0,0,0,0,0
PA3133.3,1,0,0,0,0,0,0
PA3133.4,1,0,0,0,0,0,0
PA3140,1,0,0,0,0,0,0
PA3209,1,0,0,0,0,0,0
PA3231,1,0,0,0,0,0,0
PA3262.1,1,0,0,0,0,0,0
PA3262.2,1,0,0,0,0,0,0
PA3266,1,0,0,0,0,0,0
PA3278,1,0,0,0,0,0,0
PA3281,1,0,0,0,0,0,0
PA3304.1,1,0,0,0,0,0,0
PA3305.1,1,0,0,0,0,0,0
PA3326,1,0,0,0,0,0,0
PA3338,1,0,0,0,0,0,0
PA3351,1,0,0,0,0,0,0
PA3354,1,0,0,0,0,0,0
PA3366.1,1,0,0,0,0,0,0
PA3368.1,1,0,0,0,0,0,0
PA3380,1,0,0,0,0,0,0
PA3389,1,0,0,0,0,0,0
PA3430,1,0,0,0,0,0,0
PA3434,1,0,0,0,0,0,0
PA3496,1,0,0,0,0,0,0
PA3505,1,0,0,0,0,0,0
PA3572,1,0,0,0,0,0,0
PA3577,1,0,0,0,0,0,0
PA3582,1,0,0,0,0,0,0
PA3612,1,0,0,0,0,0,0
PA3616,1,0,0,0,0,0,0
PA3621.1,1,0,0,0,0,0,0
PA3649,1,0,0,0,0,0,0
PA3688,1,0,0,0,0,0,0
PA3693,1,0,0,0,0,0,0
PA3788,1,0,0,0,0,0,0
PA3793,1,0,0,0,0,0,0
PA3808,1,0,0,0,0,0,0
PA3815,1,0,0,0,0,0,0
PA3824.1,1,0,0,0,0,0,0
PA3842,1,0,0,0,0,0,0
PA3843,1,0,0,0,0,0,0
PA3865.1,1,0,0,0,0,0,0
PA3881,1,0,0,0,0,0,0
PA3944,1,0,0,0,0,0,0
PA3979,1,0,0,0,0,0,0
PA4028,1,0,0,0,0,0,0
PA4098,1,0,0,0,0,0,0
PA4119,1,0,0,0,0,0,0
PA4141,1,0,0,0,0,0,0
PA4146,1,0,0,0,0,0,0
PA4213,1,0,0,0,0,0,0
PA4216,1,0,0,0,0,0,0
PA4230,1,0,0,0,0,0,0
PA4232,1,0,0,0,0,0,0
PA4270.1,1,0,0,0,0,0,0
PA4272.1,1,0,0,0,0,0,0
PA4276.1,1,0,0,0,0,0,0
PA4277,1,0,0,0,0,0,0
PA4277.1,1,0,0,0,0,0,0
PA4277.2,1,0,0,0,0,0,0
PA4277.3,1,0,0,0,0,0,0
PA4280.1,1,0,0,0,0,0,0
PA4280.2,1,0,0,0,0,0,0
PA4280.3,1,0,0,0,0,0,0
PA4280.4,1,0,0,0,0,0,0
PA4389,1,0,0,0,0,0,0
PA4406.1,1,0,0,0,0,0,0
PA4451.1,1,0,0,0,0,0,0
PA4524.1,1,0,0,0,0,0,0
PA4534,1,0,0,0,0,0,0
PA4541.1,1,0,0,0,0,0,0
PA4541.2,1,0,0,0,0,0,0
PA4541.3,1,0,0,0,0,0,0
PA4577,1,0,0,0,0,0,0
PA4581.1,1,0,0,0,0,0,0
PA4610,1,0,0,0,0,0,0
PA4611,1,0,0,0,0,0,0
PA4615,1,0,0,0,0,0,0
PA4629,1,0,0,0,0,0,0
PA4637,1,0,0,0,0,0,0
PA4642,1,0,0,0,0,0,0
PA4669.1,1,0,0,0,0,0,0
PA4673.1,1,0,0,0,0,0,0
PA4690.1,1,0,0,0,0,0,0
PA4690.2,1,0,0,0,0,0,0
PA4690.3,1,0,0,0,0,0,0
PA4690.4,1,0,0,0,0,0,0
PA4690.5,1,0,0,0,0,0,0
PA4703,1,0,0,0,0,0,0
PA4704.1,1,0,0,0,0,0,0
PA4704.2,1,0,0,0,0,0,0
PA4724.1,1,0,0,0,0,0,0
PA4726.1,1,0,0,0,0,0,0
PA4726.11,1,0,0,0,0,0,0
PA4746.1,1,0,0,0,0,0,0
PA4746.2,1,0,0,0,0,0,0
PA4758.1,1,0,0,0,0,0,0
PA4768,1,0,0,0,0,0,0
PA4773,1,0,0,0,0,0,0
PA4776,1,0,0,0,0,0,0
PA4802.1,1,0,0,0,0,0,0
PA4815,1,0,0,0,0,0,0
PA4823,1,0,0,0,0,0,0
PA4867,1,0,0,0,0,0,0
PA4892,1,0,0,0,0,0,0
PA4933,1,0,0,0,0,0,0
PA4937.1,1,0,0,0,0,0,0
PA4937.2,1,0,0,0,0,0,0
PA5004,1,0,0,0,0,0,0
PA5007,1,0,0,0,0,0,0
PA5028,1,0,0,0,0,0,0
PA5049,1,0,0,0,0,0,0
PA5055,1,0,0,0,0,0,0
PA5083,1,0,0,0,0,0,0
PA5125.1,1,0,0,0,0,0,0
PA5148,1,0,0,0,0,0,0
PA5149.1,1,0,0,0,0,0,0
PA5160.1,1,0,0,0,0,0,0
PA5181.1,1,0,0,0,0,0,0
PA5182,1,0,0,0,0,0,0
PA5183.1,1,0,0,0,0,0,0
PA5222,1,0,0,0,0,0,0
PA5227.1,1,0,0,0,0,0,0
PA5228,1,0,0,0,0,0,0
PA5229,1,0,0,0,0,0,0
PA5267,1,0,0,0,0,0,0
PA5316.1,1,0,0,0,0,0,0
PA5332,1,0,0,0,0,0,0
PA5341,1,0,0,0,0,0,0
PA5344,1,0,0,0,0,0,0
PA5369.1,1,0,0,0,0,0,0
PA5369.2,1,0,0,0,0,0,0
PA5369.3,1,0,0,0,0,0,0
PA5369.4,1,0,0,0,0,0,0
PA5369.5,1,0,0,0,0,0,0
PA5420,1,0,0,0,0,0,0
PA5432,1,0,0,0,0,0,0
PA5462,1,0,0,0,0,0,0
PA5471.1,1,0,0,0,0,0,0
PA5532,1,0,0,0,0,0,0
PA5461,0,0,0,0,0,0,0
PA2387,0,0,0,0,0,0,0
PA2367,0,0,0,0,0,0,0
PA3935,0,0,0,0,0,0,0
PA5400,0,0,0,0,0,0,0
PA2854,0,1,0,0,0,1,0
PA2853,0,1,0,0,0,1,0
PA5012,0,1,1,0,0,0,0
PA0678,0,0,1,0,0,0,1
PA1969,0,0,1,0,0,0,1
PA4093,0,0,1,0,0,0,1
PA4268,0,0,1,0,0,0,1
PA5198,1,0,0,0,0,0,1
PA5003,1,0,0,0,0,0,1
PA4952,1,0,0,0,0,0,1
PA4743,1,0,0,0,0,0,1
PA4726.2,1,0,0,0,0,0,1
PA4723,1,0,0,0,0,0,1
PA4493,1,0,0,0,0,0,1
PA4421.1,1,0,0,0,0,0,1
PA4261,1,0,0,0,0,0,1
PA3111,1,0,0,0,0,0,1
PA2971,1,0,0,0,0,0,1
PA2461,1,0,0,0,0,0,1
PA2453,1,0,0,0,0,0,1
PA2245,1,0,0,0,0,0,1
PA2186,1,0,0,0,0,0,1
PA2107,1,0,0,0,0,0,1
PA1847,1,0,0,0,0,0,1
PA1552.1,1,0,0,0,0,0,1
PA1548,1,0,0,0,0,0,1
PA1151,1,0,0,0,0,0,1
PA3142,1,0,0,0,0,0,1
PA0442,1,0,0,1,0,0,0
PA0092,0,0,0,0,0,1,1
PA4053,0,0,0,0,0,1,1
PA0050,1,0,0,0,0,0,0
PA0128,1,0,0,0,0,0,0
PA0505,1,0,0,0,0,0,0
PA0517,1,0,0,0,0,0,0
PA0526,1,0,0,0,0,0,0
PA0631,1,0,0,0,0,0,0
PA0637,1,0,0,0,0,0,0
PA0818,1,0,0,0,0,0,0
PA0909,1,0,0,0,0,0,0
PA1075,1,0,0,0,0,0,0
PA1203,1,0,0,0,0,0,0
PA1213,1,0,0,0,0,0,0
PA1219,1,0,0,0,0,0,0
PA1298,1,0,0,0,0,0,0
PA1333,1,0,0,0,0,0,0
PA1357,1,0,0,0,0,0,0
PA1394,1,0,0,0,0,0,0
PA1456,1,0,0,0,0,0,0
PA1520,1,0,0,0,0,0,0
PA1574,1,0,0,0,0,0,0
PA1618,1,0,0,0,0,0,0
PA1619,1,0,0,0,0,0,0
PA1620,1,0,0,0,0,0,0
PA1645,1,0,0,0,0,0,0
PA1696,1,0,0,0,0,0,0
PA1720,1,0,0,0,0,0,0
PA1729,1,0,0,0,0,0,0
PA1747,1,0,0,0,0,0,0
PA1879,1,0,0,0,0,0,0
PA1884,1,0,0,0,0,0,0
PA1924,1,0,0,0,0,0,0
PA1931,1,0,0,0,0,0,0
PA1966,1,0,0,0,0,0,0
PA1981,1,0,0,0,0,0,0
PA2030,1,0,0,0,0,0,0
PA2048,1,0,0,0,0,0,0
PA2056,1,0,0,0,0,0,0
PA2094,1,0,0,0,0,0,0
PA2143,1,0,0,0,0,0,0
PA2149,1,0,0,0,0,0,0
PA2166,1,0,0,0,0,0,0
PA2169,1,0,0,0,0,0,0
PA2271,1,0,0,0,0,0,0
PA2273,1,0,0,0,0,0,0
PA2279,1,0,0,0,0,0,0
PA2284,1,0,0,0,0,0,0
PA2288,1,0,0,0,0,0,0
PA2311,1,0,0,0,0,0,0
PA2315,1,0,0,0,0,0,0
PA2324,1,0,0,0,0,0,0
PA2329,1,0,0,0,0,0,0
PA2341,1,0,0,0,0,0,0
PA2376,1,0,0,0,0,0,0
PA2468,1,0,0,0,0,0,0
PA2537,1,0,0,0,0,0,0
PA2565,1,0,0,0,0,0,0
PA2577,1,0,0,0,0,0,0
PA2617,1,0,0,0,0,0,0
PA2619,1,0,0,0,0,0,0
PA2655,1,0,0,0,0,0,0
PA2666,1,0,0,0,0,0,0
PA2703,1,0,0,0,0,0,0
PA2753,1,0,0,0,0,0,0
PA2855,1,0,0,0,0,0,0
PA2978,1,0,0,0,0,0,0
PA3371,1,0,0,0,0,0,0
PA5408,1,0,0,0,0,0,0
PA5407,1,0,0,0,0,0,0
PA5126,1,0,0,0,0,0,0
PA4940,1,0,0,0,0,0,0
PA4826,1,0,0,0,0,0,0
PA4662,1,0,0,0,0,0,0
PA4558,1,0,0,0,0,0,0
PA4537,1,0,0,0,0,0,0
PA4485,1,0,0,0,0,0,0
PA4452,1,0,0,0,0,0,0
PA4377,1,0,0,0,0,0,0
PA4357,1,0,0,0,0,0,0
PA4090,1,0,0,0,0,0,0
PA4077,1,0,0,0,0,0,0
PA3996,1,0,0,0,0,0,0
PA3883,1,0,0,0,0,0,0
PA3853,1,0,0,0,0,0,0
PA3847,1,0,0,0,0,0,0
PA3786,1,0,0,0,0,0,0
PA3668,1,0,0,0,0,0,0
PA3520,1,0,0,0,0,0,0
PA3490,1,0,0,0,0,0,0
PA3441,1,0,0,0,0,0,0
PA0036,0,1,0,1,0,0,0
PA0335,0,1,0,1,0,0,0
PA0380,0,1,0,1,0,0,0
PA0945,0,1,0,1,0,0,0
PA5426,0,1,0,1,0,0,0
PA5263,0,1,0,1,0,0,0
PA5143,0,1,0,1,0,0,0
PA4694,0,1,0,1,0,0,0
PA3975,0,1,0,1,0,0,0
PA3525,0,1,0,1,0,0,0
PA3113,0,1,0,1,0,0,0
PA0005,0,0,0,0,1,0,1
PA0073,0,0,0,0,1,0,1
PA0502,0,0,0,0,1,0,1
PA0595,0,0,0,0,1,0,1
PA0966,0,0,0,0,1,0,1
PA0967,0,0,0,0,1,0,1
PA1480,0,0,0,0,1,0,1
PA1481,0,0,0,0,1,0,1
PA5565,0,0,0,0,1,0,1
PA5365,0,0,0,0,1,0,1
PA5322,0,0,0,0,1,0,1
PA5070,0,0,0,0,1,0,1
PA5015,0,0,0,0,1,0,1
PA4945,0,0,0,0,1,0,1
PA4916,0,0,0,0,1,0,1
PA4726,0,0,0,0,1,0,1
PA4640,0,0,0,0,1,0,1
PA4600,0,0,0,0,1,0,1
PA4454,0,0,0,0,1,0,1
PA4398,0,0,0,0,1,0,1
PA4394,0,0,0,0,1,0,1
PA4314,0,0,0,0,1,0,1
PA4285,0,0,0,0,1,0,1
PA4284,0,0,0,0,1,0,1
PA4280,0,0,0,0,1,0,1
PA4223,0,0,0,0,1,0,1
PA4222,0,0,0,0,1,0,1
PA3818,0,0,0,0,1,0,1
PA3746,0,0,0,0,1,0,1
PA3686,0,0,0,0,1,0,1
PA3574,0,0,0,0,1,0,1
PA3263,0,0,0,0,1,0,1
PA3243,0,0,0,0,1,0,1
PA3201,0,0,0,0,1,0,1
PA3194,0,0,0,0,1,0,1
PA2852,0,0,0,0,1,0,1
PA2239,0,0,0,0,1,0,1
PA2034,0,0,0,0,1,0,1
PA1801,0,0,0,0,1,0,1
PA1685,0,0,0,0,1,0,1
PA5570,1,0,0,0,0,1,0
PA4853,1,1,0,0,0,1,0
PA4568,1,0,0,0,0,1,1
PA4674,1,0,0,0,0,1,1
PA4249,1,0,1,0,0,0,1
PA4031,0,1,1,0,0,0,1
PA2961,0,0,0,0,1,1,1
PA5069,1,0,0,0,0,0,1
PA5068,1,0,0,0,0,0,1
PA4563,1,0,0,0,0,0,1
PA4419,1,0,0,0,0,0,1
PA4259,1,0,0,0,0,0,1
PA4255,1,0,0,0,0,0,1
PA4252,1,0,0,0,0,0,1
PA3812,1,0,0,0,0,0,1
PA3656,1,0,0,0,0,0,1
PA3634,1,0,0,0,0,0,1
PA3528,1,0,0,0,0,0,1
PA2966,1,0,0,0,0,0,1
PA2947,1,0,0,0,0,0,1
PA2742,1,0,0,0,0,0,1
PA1721,1,0,0,0,0,0,1
PA1571,1,0,0,0,0,0,1
PA1482,1,0,0,0,0,0,1
PA0579,1,0,0,1,0,1,0
PA1664,1,0,0,1,0,1,0
PA2139,1,0,0,1,0,1,0
PA0362,0,1,0,1,0,1,0
PA0389,0,1,0,1,0,1,0
PA2190,0,1,0,1,0,1,0
PA2506,0,1,0,1,0,1,0
PA5066,0,1,0,1,0,1,0
PA4973,0,1,0,1,0,1,0
PA4947,0,1,0,1,0,1,0
PA0944,0,1,0,1,0,1,0
PA5071,1,0,0,0,1,0,0
PA5131,0,1,0,0,1,0,1
PA4730,0,1,0,0,1,0,1
PA0500,0,1,0,0,1,0,1
PA0501,0,1,0,0,1,0,1
PA0552,0,1,0,0,1,0,1
PA1614,0,1,0,0,1,0,1
PA3001,0,1,0,0,1,0,1
PA3635,0,1,0,0,1,0,1
PA5277,0,1,0,1,0,0,1
PA5204,0,1,0,1,0,0,1
PA5141,0,1,0,1,0,0,1
PA5140,0,1,0,1,0,0,1
PA4960,0,1,0,1,0,0,1
PA4855,0,1,0,1,0,0,1
PA4695,0,1,0,1,0,0,1
PA4524,0,1,0,1,0,0,1
PA4449,0,1,0,1,0,0,1
PA4447,0,1,0,1,0,0,1
PA0035,0,1,0,1,0,0,1
PA0353,0,1,0,1,0,0,1
PA0373,0,1,0,1,0,0,1
PA0390,0,1,0,1,0,0,1
PA0393,0,1,0,1,0,0,1
PA0430,0,1,0,1,0,0,1
PA0609,0,1,0,1,0,0,1
PA0651,0,1,0,1,0,0,1
PA3107,0,1,0,1,0,0,1
PA3108,0,1,0,1,0,0,1
PA3118,0,1,0,1,0,0,1
PA3120,0,1,0,1,0,0,1
PA3121,0,1,0,1,0,0,1
