PA14_metabolic_model_genes
PA14_52900
PA14_06600
PA14_31580
PA14_31540
PA14_42080
PA14_25080
PA14_17860
PA14_43460
PA14_68530
PA14_38840
PA14_70140
PA14_51050
PA14_64740
PA14_30180
PA14_30190
PA14_17930
PA14_24950
PA14_01600
PA14_54620
PA14_18120
PA14_02450
PA14_02470
PA14_02680
PA14_51330
PA14_54450
PA14_44740
PA14_44710
PA14_44760
PA14_44060
PA14_44050
PA14_44030
PA14_44020
PA14_43970
PA14_35490
PA14_63850
PA14_41530
PA14_41540
PA14_40770
PA14_26485
PA14_10550
PA14_11810
PA14_34600
PA14_25250
PA14_30020
PA14_30010
PA14_29990
PA14_29980
PA14_29970
PA14_29940
PA14_29930
PA14_29920
PA14_29900
PA14_29890
PA14_29880
PA14_29860
PA14_29850
PA14_23070
PA14_71800
PA14_54670
PA14_48020
PA14_45430
PA14_43680
PA14_43640
PA14_41170
PA14_38440
PA14_25660
PA14_25390
PA14_23790
PA14_22890
PA14_40890
PA14_43180
PA14_39640
PA14_25970
PA14_35300
PA14_35290
PA14_35270
PA14_32080
PA14_32100
PA14_32110
PA14_30280
PA14_53290
PA14_26650
PA14_10890
PA14_11130
PA14_20270
PA14_24170
PA14_63640
PA14_23800
PA14_23450
PA14_18300
PA14_38360
PA14_18580
PA14_18140
PA14_36270
PA14_17400
PA14_11190
PA14_09710
PA14_70950
PA14_37090
PA14_11000
PA14_10990
PA14_09240
PA14_09270
PA14_09280
PA14_09290
PA14_58870
PA14_65760
PA14_63570
PA14_63580
PA14_63605
PA14_44010
PA14_44000
PA14_66290
PA14_66310
PA14_19900
PA14_19910
PA14_66570
PA14_66560
PA14_66680
PA14_19190
PA14_70940
PA14_04780
PA14_16390
PA14_10850
PA14_37100
PA14_00250
PA14_00290
PA14_03050
PA14_03430
PA14_04110
PA14_04580
PA14_05150
PA14_05590
PA14_05840
PA14_07170
PA14_07740
PA14_08480
PA14_54170
PA14_53950
PA14_52670
PA14_52270
PA14_46470
PA14_44470
PA14_43690
PA14_41350
PA14_38590
PA14_38330
PA14_35320
PA14_34970
PA14_34360
PA14_33810
PA14_30630
PA14_30340
PA14_26460
PA14_25550
PA14_24220
PA14_23310
PA14_20140
PA14_19870
PA14_19470
PA14_61400
PA14_17130
PA14_16360
PA14_16070
PA14_15310
PA14_14880
PA14_13500
PA14_12020
PA14_12010
PA14_11400
PA14_10630
PA14_10260
PA14_10250
PA14_10240
PA14_10230
PA14_09400
PA14_57160
PA14_57780
PA14_60330
PA14_60380
