baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	control.3	control.4	control.5	control.6	Expected.1	Expected.2	Expected	Essentiality	Uncertainty
68.8448206750507	-10.5369127001097	0.595827109199159	-17.6845137413639	5.51951690108258e-70	8.5261204130334e-68	PA0001	0	0	0	1	1	1	5.17	Reduced	0
51.5318110427658	-10.7942197569439	0.755696511460948	-14.2838025493541	2.76114769876008e-46	1.42173540303748e-44	PA0002	0	0	0	0	1	0	3.72	Reduced	0
44.6654798073745	-0.816464597463239	0.502017398792896	-1.62636713274567	0.103871578350519	0.331371405162134	PA0003	9	9	5	12	9	12	3.89	Unchanged	0.0102633329694743
120.510654506181	-11.2799885502677	0.521625293208718	-21.6246963042765	1.05207557392389e-103	6.14866693868264e-101	PA0004	0	0	0	1	0	2	8.73	Reduced	0
38.8457973388685	-2.67214023034778	0.5427675684685	-4.92317593309347	8.5150833985304e-07	9.74328781465588e-06	PA0005	7	8	4	4	4	4	2.78	Reduced	0.234276248720443
22.0989644838586	-3.91476981030135	0.709847002764156	-5.51494870733718	3.48881694759547e-08	4.32100468721123e-07	PA0006	0	1	0	1	4	1	2.06	Reduced	0.000245193228085139
81.4808463612913	-0.476681904978395	0.365171606133367	-1.30536409997962	0.19176889669719	0.464471617827994	PA0007	28	30	24	27	30	37	5.77	Unchanged	0.00677664007691114
88.9050248274504	-7.66154517033843	0.423312212382128	-18.0990411952072	NA	NA	PA0008	0	0	0	3	1	2	6.85	Reduced	0
43.2181252010967	-6.96240658590273	0.644504077168849	-10.8027347421709	3.34101645639297e-27	8.14885636579005e-26	PA0009	0	2	0	2	1	0	3.1	Reduced	0
34.6429365042486	0.0437329742515065	0.654229635477057	0.066846519753904	0.946703888796192	0.98356702154552	PA0010	10	10	11	11	20	27	2.17	Unchanged	0
48.155581672441	0.206996358043427	0.513556088547832	0.403064753119264	0.686900589244242	0.875949979048793	PA0011	14	15	11	18	19	22	3.15	Unchanged	0
10.525249290054	0.36695438256022	0.75625731578005	0.485224241674569	0.627517287956025	0.841887488135936	PA0012	1	1	2	5	4	3	0.72	Unchanged	0
32.9930518270648	-0.467012822759556	0.588039752433046	-0.794185802621788	0.427087272408327	0.707182238221299	PA0013	6	7	3	8	14	13	2.25	Unchanged	0.00671608535707602
14.894175077255	-0.012137292706979	0.774438386348696	-0.0156723800381379	0.987495761827746	0.996113339573629	PA0014	4	3	1	10	10	12	0.97	Unchanged	0.00526275104221485
14.7641397672517	-0.9816579822407	0.794716054881773	-1.23523109444006	0.216744509935539	0.500754557437279	PA0015	1	2	1	1	4	13	1.04	Unchanged	0.0134616913290017
63.6398671551863	-1.2314370319729	0.462894073355181	-2.66029984580946	0.00780711141948483	0.0494480029655526	PA0016	17	17	13	20	18	22	4.55	Unchanged	0.0220729540981385
56.5104787014585	-1.56259166569201	0.462453532715676	-3.37891605350265	0.000727722256410131	0.00609467389743485	PA0017	13	15	7	18	18	18	4.36	Unchanged	0.049259636014046
44.7748669793538	-5.9683758439935	0.583102929860323	-10.2355442553224	1.37420317590104e-24	2.99684072987675e-23	PA0018	1	3	0	7	1	1	3.13	Reduced	5.90549831258613e-12
18.6307058497774	-5.18800783623066	0.693694328165311	-7.47880965086157	7.49988097843436e-14	1.10628217827781e-12	PA0019	0	0	0	3	2	3	1.72	Reduced	1.0800286109891e-08
44.6102976220738	1.17728289480457	0.539513713537268	2.18211857319777	0.0291007827808914	0.137962023055871	PA0020	22	24	24	31	27	29	3.33	Unchanged	0
56.3490087273857	-0.673076447251034	0.476895974427086	-1.41136952992658	0.158135682529298	0.417962229346685	PA0021	12	15	10	16	28	32	3.9	Unchanged	0.00841340357141773
27.3716811481673	-7.18834075827102	0.6882963667804	-10.4436709318915	1.56633951869734e-25	3.56984182929341e-24	PA0022	0	0	0	2	0	0	2.09	Reduced	0
49.6565563588176	0.504182509397817	0.508533978819563	0.991443109796033	0.321469258676875	0.62072588454934	PA0023	20	23	14	22	34	21	3.27	Unchanged	0
41.9519793019333	-9.17766171592065	0.661284037033903	-13.8785471929517	8.5458548869527e-44	3.6839921725848e-42	PA0024	0	0	0	1	1	1	3	Reduced	0
34.9019145378989	-2.6874576798232	0.557268859293132	-4.8225513322817	1.41733538327511e-06	1.58907299725663e-05	PA0025	9	12	4	7	6	8	2.7	Reduced	0.221629105813892
41.347227459262	-0.0564863613397446	0.523932671454783	-0.10781225225543	0.914144623649328	0.972743637985823	PA0026	16	20	11	24	23	22	3.03	Unchanged	0.00530703463325433
61.6279240598464	-0.302316173733596	0.451016601855189	-0.670299435741532	0.502666926756984	0.761098044536374	PA0027	26	28	23	20	21	26	4.49	Unchanged	0.00590518481460056
23.2984088965727	-0.717088717574047	0.648851367944338	-1.10516638016175	0.269087501710884	0.565598884150289	PA0028	6	6	7	10	12	12	1.85	Unchanged	0.00891006937463501
66.7239485923866	-0.954977451486466	0.409849897107409	-2.33006634435288	0.0198026448931799	0.102344338523209	PA0029	17	21	16	29	33	24	5.34	Unchanged	0.0128454748671016
44.808065696634	-0.471337936804868	0.515727461833888	-0.91392832782033	0.360754507490851	0.653999461190527	PA0030	12	13	10	12	11	12	3.35	Unchanged	0.00674297386303035
70.1747539844531	-0.726181687836447	0.447736931218143	-1.62189365496554	0.104826120362514	0.332496151862299	PA0031	11	12	10	13	19	26	5.29	Unchanged	0.00901991944335845
34.6130996278282	-0.877633435469141	0.544433638969893	-1.61201177269223	0.106959377926708	0.33566653535577	PA0032	7	9	5	12	15	9	2.99	Unchanged	0.0112883670621485
