PAO1_metabolic_model_genes
PA0879
PA0506
PA2550
PA2552
PA1737
PA3014
PA3590
PA1628
PA5188
PA1984
PA5312
PA1027
PA4899
PA2624
PA2623
PA3584
PA3025
PA0130
PA0747
PA3570
PA0195
PA0196
PA0219
PA1004
PA0761
PA1523
PA1524
PA1522
PA1581
PA1582
PA1583
PA1584
PA1587
PA2250
PA4829
PA1781
PA1780
PA1838
PA2906
PA4130
PA4022
PA2323
PA3001
PA2637
PA2638
PA2639
PA2640
PA2641
PA2642
PA2643
PA2644
PA2645
PA2646
PA2647
PA2648
PA2649
PA3183
PA5439
PA0743
PA1252
PA1470
PA1610
PA1614
PA1806
PA2015
PA2967
PA2991
PA3118
PA3195
PA1828
PA1649
PA1923
PA2944
PA2264
PA2265
PA2266
PA2518
PA2517
PA2516
PA2616
PA0849
PA2892
PA4098
PA4079
PA3387
PA3092
PA4814
PA3117
PA3158
PA3146
PA3559
PA2022
PA3540
PA3569
PA2199
PA3629
PA4073
PA3504
PA4189
PA5373
PA2125
PA4091
PA4092
PA4228
PA4226
PA4225
PA4224
PA4538
PA4975
PA4810
PA4811
PA4812
PA1585
PA1586
PA5015
PA5016
PA3417
PA3416
PA5036
PA5035
PA5046
PA3471
PA5372
PA0364
PA3710
PA4100
PA2124
PA0023
PA0025
PA0247
PA0265
PA0316
PA0350
PA0393
PA0430
PA0447
PA0551
PA0593
PA0662
PA0782
PA0795
PA0898
PA0927
PA1375
PA1546
PA1609
PA1796
PA2003
PA2025
PA2263
PA2290
PA2342
PA2386
PA2587
PA2611
PA2909
PA2977
PA3088
PA3164
PA3397
PA3418
PA3452
PA4640
PA3650
PA3713
PA3736
PA3770
PA3803
PA3896
PA4006
PA4007
PA4056
PA4123
PA4150
PA4151
PA4152
PA4153
PA4217
PA4397
PA4448
PA4557
PA4561
PA4588
PA4626
PA4666
PA4694
PA4759
PA4920
PA5162
PA5304
PA5421
PA5454
PA3891
PA5376
PA3890
PA5377
PA5378
PA3889
PA3888
PA0005
PA4351
PA2537
